Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,IBM,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PFE,TSLA,V,WMT,XOM,^GSPC
2022-01-01,171.3548126220703,149.57350158691406,41.894691467285156,113.00131225585938,140.6256561279297,134.376708984375,114.68940734863281,154.21693420410156,134.43934631347656,54.94309997558594,377.933837890625,311.5508117675781,301.4621276855469,427.1400146484375,24.44002342224121,43.65675354003906,312.239990234375,219.89012145996094,44.32426834106445,66.4768295288086,4515.5498046875
2022-02-01,161.88412475585938,153.56300354003906,40.13319396972656,123.90304565429688,146.02565002441406,134.1318817138672,105.19277954101562,147.30673217773438,129.0563507080078,56.05078125,353.3956298828125,209.8785858154297,289.6452331542969,394.5199890136719,24.339210510253906,39.18825149536133,290.1433410644531,210.11915588378906,42.85007858276367,68.62969970703125,4373.93994140625
2022-03-01,171.40625,162.99749755859375,37.42738723754883,141.5760955810547,134.9109344482422,138.1149139404297,112.9859848022461,159.6570587158203,124.0688705444336,55.834651947021484,350.0263671875,221.14675903320312,299.4918212890625,374.5899963378906,27.23476219177246,43.22060775756836,359.20001220703125,215.96307373046875,47.212432861328125,73.08038330078125,4530.41015625
2022-04-01,154.7574005126953,124.28150177001953,32.55551528930664,136.22012329101562,109.799560546875,113.32787322998047,114.88909149169922,162.56683349609375,108.63304901123047,58.6305046081543,355.9029541015625,199.37620544433594,269.58245849609375,190.36000061035156,18.515323638916016,40.96649932861328,290.2533264160156,207.54930114746094,48.690345764160156,75.43412780761719,4131.93017578125
2022-05-01,146.10906982421875,120.20950317382812,33.94240951538086,151.8619384765625,108.62907409667969,112.98274230957031,120.65047454833984,161.72898864746094,121.23846435546875,57.514339447021484,350.9927673339844,192.58346557617188,264.09405517578125,197.44000244140625,18.64011573791504,44.280887603759766,252.75332641601562,206.6144561767578,40.937564849853516,84.94632720947266,4132.14990234375
2022-06-01,134.4086456298828,106.20999908447266,28.403953552246094,126.91773223876953,92.85209655761719,108.21662139892578,124.180908203125,160.9368896484375,103.24935913085938,57.087833404541016,309.41741943359375,160.3701934814453,250.06529235839844,174.8699951171875,15.133112907409668,44.128578186035156,224.47332763671875,192.1007537841797,38.83449935913086,76.55543518066406,3785.3798828125
2022-07-01,159.76266479492188,134.9499969482422,31.026960372924805,143.57359313964844,104.36024475097656,115.52322387695312,115.03380584716797,158.22604370117188,105.77076721191406,58.65193557739258,346.9912109375,158.23191833496094,273.34552001953125,224.89999389648438,18.13581657409668,42.512569427490234,297.1499938964844,206.95053100585938,42.17877197265625,86.64779663085938,4130.2900390625
2022-08-01,154.56210327148438,126.7699966430664,30.843420028686523,138.55931091308594,110.24219512939453,107.47871398925781,112.97570037841797,146.27658081054688,105.19866943359375,56.403480529785156,318.6241455078125,162.041015625,254.58309936523438,223.55999755859375,15.07140827178955,38.36396789550781,275.6099853515625,193.87648010253906,42.33848571777344,85.44993591308594,3955.0
2022-09-01,136.05233764648438,113.0,27.714107513427734,127.08901977539062,92.78324127197266,94.99481201171875,105.81361389160156,149.1031036376953,96.66104125976562,51.20276641845703,279.30328369140625,134.939697265625,227.24693298339844,235.44000244140625,12.120830535888672,37.11711502075195,265.25,173.6357421875,41.608577728271484,78.80660247802734,3585.6201171875
2022-10-01,150.9571075439453,102.44000244140625,33.29131317138672,160.02230834960938,104.79302215576172,93.86261749267578,123.1627426147461,158.78713989257812,116.43724060058594,55.10225296020508,322.3667297363281,92.65171813964844,226.4956512451172,291.8800048828125,13.480804443359375,39.48358154296875,227.5399932861328,202.47894287109375,45.660362243652344,100.01787567138672,3871.97998046875
